"Node1(x,y)","Node2(x,y)"
"(-14540.70728, 149022.29541)","(-14541.00578, 149023.08711)"
"(-14540.70728, 149022.29541)","(-14508.68698, 148862.21821)"
"(-14540.70728, 149022.29541)","(-14602.20849, 149018.09088)"
"(-14261.58618, 148060.00501)","(-14148.02998, 148195.04921)"
"(-14261.58618, 148060.00501)","(-14451.34568, 148138.03471)"
"(-14261.58618, 148060.00501)","(-14008.98295, 147819.37167)"
"(-14364.68728, 149048.66971)","(-14194.49678, 148898.97241)"
"(-14364.68728, 149048.66971)","(-14541.00578, 149023.08711)"
"(-15013.85998, 148870.09431)","(-15028.03215, 148863.75522)"
"(-15013.85998, 148870.09431)","(-15109.69738, 149003.07561)"
"(-15013.85998, 148870.09431)","(-14908.31698, 148833.23941)"
"(-14394.34948, 149595.88141)","(-14323.89035, 149625.56992)"
"(-14394.34948, 149595.88141)","(-14246.31599, 149213.27983)"
"(-14394.34948, 149595.88141)","(-14536.41298, 149171.48071)"
"(-15267.75328, 149258.96071)","(-15342.36318, 149378.40191)"
"(-15267.75328, 149258.96071)","(-15109.69738, 149003.07561)"
"(-15267.75328, 149258.96071)","(-14833.27348, 149483.41441)"
"(-15146.14858, 148863.64541)","(-14923.24858, 148582.19891)"
"(-15146.14858, 148863.64541)","(-15028.03215, 148863.75522)"
"(-15146.14858, 148863.64541)","(-15419.87893, 149065.40362)"
"(-15771.70978, 150101.53671)","(-15759.21287, 150095.10028)"
"(-15771.70978, 150101.53671)","(-15082.78238, 150019.21581)"
"(-14069.35638, 148584.14781)","(-14069.78638, 148330.28551)"
"(-14069.35638, 148584.14781)","(-14200.06897, 148883.78631)"
"(-14069.35638, 148584.14781)","(-13864.08228, 148731.81221)"
"(-15091.43758, 148511.71781)","(-15011.11447, 148538.93237)"
"(-15091.43758, 148511.71781)","(-15062.52717, 148370.94237)"
"(-15091.43758, 148511.71781)","(-15419.87893, 149065.40362)"
"(-14750.54618, 149658.12111)","(-14748.54698, 149657.91391)"
"(-14750.54618, 149658.12111)","(-14298.83828, 149685.76791)"
"(-14750.54618, 149658.12111)","(-14765.82038, 149768.07761)"
"(-14588.57088, 148086.74141)","(-14451.34568, 148138.03471)"
"(-14588.57088, 148086.74141)","(-14638.77407, 147795.47715)"
"(-14588.57088, 148086.74141)","(-14784.72258, 148459.94331)"
"(-14115.84058, 148231.16461)","(-14148.02998, 148195.04921)"
"(-14115.84058, 148231.16461)","(-14082.90658, 148243.02061)"
"(-14115.84058, 148231.16461)","(-14433.07574, 148589.79609)"
"(-14508.68698, 148862.21821)","(-14459.27998, 148782.04391)"
"(-14508.68698, 148862.21821)","(-14559.30131, 148727.3699)"
"(-15279.23408, 149386.44861)","(-15342.36318, 149378.40191)"
"(-15279.23408, 149386.44861)","(-15239.2155, 149383.64563)"
"(-14323.89035, 149625.56992)","(-14298.83828, 149685.76791)"
"(-14323.89035, 149625.56992)","(-14243.49008, 149681.73381)"
"(-13489.18408, 149095.06091)","(-13344.55208, 149283.23872)"
"(-13489.18408, 149095.06091)","(-13580.48258, 149011.38861)"
"(-15109.69738, 149003.07561)","(-14849.10808, 149082.06171)"
"(-14908.31698, 148833.23941)","(-14852.42928, 148832.95261)"
"(-14908.31698, 148833.23941)","(-14725.76646, 148708.12995)"
"(-15034.83598, 149511.34681)","(-15025.81858, 149541.44301)"
"(-15034.83598, 149511.34681)","(-15239.2155, 149383.64563)"
"(-15034.83598, 149511.34681)","(-14951.55558, 149723.59051)"
"(-14451.34568, 148138.03471)","(-14784.72258, 148459.94331)"
"(-14659.81378, 149014.15301)","(-14639.88718, 148780.30091)"
"(-14659.81378, 149014.15301)","(-14602.20849, 149018.09088)"
"(-14659.81378, 149014.15301)","(-14747.5615, 149078.66405)"
"(-15050.65908, 149725.68891)","(-15048.83278, 149727.21631)"
"(-15050.65908, 149725.68891)","(-15025.81858, 149541.44301)"
"(-14747.5615, 149078.66405)","(-14849.10808, 149082.06171)"
"(-14747.5615, 149078.66405)","(-14833.27348, 149483.41441)"
"(-14784.72258, 148459.94331)","(-14923.24858, 148582.19891)"
"(-14194.49678, 148898.97241)","(-14200.06897, 148883.78631)"
"(-14194.49678, 148898.97241)","(-14209.85468, 149193.83981)"
"(-14227.82758, 149203.41141)","(-14209.85468, 149193.83981)"
"(-14227.82758, 149203.41141)","(-14246.31599, 149213.27983)"
"(-14227.82758, 149203.41141)","(-14536.41298, 149171.48071)"
"(-14852.42928, 148832.95261)","(-14639.88718, 148780.30091)"
"(-14852.42928, 148832.95261)","(-14849.10808, 149082.06171)"
"(-13831.82048, 148553.24621)","(-13776.18971, 148526.14111)"
"(-13831.82048, 148553.24621)","(-13864.08228, 148731.81221)"
"(-13864.08228, 148731.81221)","(-13580.48258, 149011.38861)"
"(-13672.51748, 148400.85541)","(-13573.75614, 148328.60157)"
"(-13672.51748, 148400.85541)","(-13776.18971, 148526.14111)"
"(-14082.90658, 148243.02061)","(-14069.78638, 148330.28551)"
"(-14082.90658, 148243.02061)","(-13912.17588, 148174.97421)"
"(-15048.83278, 149727.21631)","(-15078.50408, 149746.25911)"
"(-15048.83278, 149727.21631)","(-14951.55558, 149723.59051)"
"(-14209.85468, 149193.83981)","(-14099.12878, 149217.38171)"
"(-13896.97758, 149398.60741)","(-14092.64652, 149254.32486)"
"(-13896.97758, 149398.60741)","(-14243.49008, 149681.73381)"
"(-15068.22688, 149890.74231)","(-15082.78238, 150019.21581)"
"(-15068.22688, 149890.74231)","(-15078.50408, 149746.25911)"
"(-14269.57668, 148533.53211)","(-14069.78638, 148330.28551)"
"(-14269.57668, 148533.53211)","(-14459.27998, 148782.04391)"
"(-14269.57668, 148533.53211)","(-14178.38598, 148632.10491)"
"(-14951.55558, 149723.59051)","(-14849.34118, 149844.50848)"
"(-14748.54698, 149657.91391)","(-14833.27348, 149483.41441)"
"(-14866.84908, 148174.35051)","(-14843.56568, 148156.35881)"
"(-14866.84908, 148174.35051)","(-15013.92462, 148250.73852)"
"(-13959.76258, 147857.25941)","(-14008.98295, 147819.37167)"
"(-13959.76258, 147857.25941)","(-13912.17588, 148174.97421)"
"(-14178.38598, 148632.10491)","(-14459.27998, 148782.04391)"
"(-14923.24858, 148582.19891)","(-14843.56568, 148156.35881)"
"(-14923.24858, 148582.19891)","(-15011.11447, 148538.93237)"
"(-13912.17588, 148174.97421)","(-13573.75614, 148328.60157)"
"(-14099.12878, 149217.38171)","(-14092.64652, 149254.32486)"
"(-14099.12878, 149217.38171)","(-14012.48113, 149189.04611)"
"(-15342.36318, 149378.40191)","(-15383.42364, 149405.95416)"
"(-14843.56568, 148156.35881)","(-14792.76558, 147894.42081)"
"(-14792.76558, 147894.42081)","(-14638.77407, 147795.47715)"
"(-14765.82038, 149768.07761)","(-14849.34118, 149844.50848)"
"(-14639.88718, 148780.30091)","(-14559.30131, 148727.3699)"
"(-15624.18615, 149941.11032)","(-15633.27607, 149960.79597)"
"(-15624.18615, 149941.11032)","(-15383.42364, 149405.95416)"
"(-14725.76646, 148708.12995)","(-14511.22747, 148637.70934)"
"(-14433.07574, 148589.79609)","(-14482.92326, 148621.2414)"
"(-14482.92326, 148621.2414)","(-14511.22747, 148637.70934)"
"(-15013.92462, 148250.73852)","(-15062.52717, 148370.94237)"
"(-15633.27607, 149960.79597)","(-15759.21287, 150095.10028)"
"(-13673.42836, 149304.85526)","(-13433.59645, 149423.02959)"
"(-13673.42836, 149304.85526)","(-14002.27211, 149191.41482)"
"(-14002.27211, 149191.41482)","(-14012.48113, 149189.04611)"
"(-13433.59645, 149423.02959)","(-13348.91581, 149304.03055)"
"(-13344.55208, 149283.23872)","(-13348.91581, 149304.03055)"
