"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-13594.83638, 152617.47621)","(-13558.27628, 152780.48971)",0.16869094319233055,False,False,1268,453,1901,453,951,False,"[(-13555.37688, 152758.31291)]"
"(-13594.83638, 152617.47621)","(-13739.14518, 152641.79421)",0.20461379515871508,True,False,1538,549,2307,549,1153,False,"[(-13657.60708, 152569.02661), (-13715.52038, 152579.70711)]"
"(-13594.83638, 152617.47621)","(-13914.65108, 152290.25701)",0.5715425794789399,False,False,4294,1534,6442,1534,3220,False,"[(-13558.50038, 152588.35691), (-13566.31468, 152541.64691), (-13624.36118, 152509.47781), (-13688.77178, 152401.16341), (-13719.37648, 152339.59861), (-13757.09768, 152307.44021), (-13804.36078, 152305.44951), (-13867.67698, 152287.14391), (-13871.70998, 152296.61251)]"
"(-13594.83638, 152617.47621)","(-13860.65879, 152507.85583)",0.0,False,True,0,0,0,0,0,False,
"(-13594.83638, 152617.47621)","(-13560.32763, 152476.27228)",0.0,False,True,0,0,0,0,0,False,
"(-13558.27628, 152780.48971)","(-13594.83638, 152617.47621)",0.16869094319233055,False,False,1268,453,1901,453,951,False,"[(-13555.37688, 152758.31291)]"
"(-13558.27628, 152780.48971)","(-13522.87838, 152849.29491)",0.09107777740416859,False,False,684,245,1027,245,513,False,"[(-13563.72778, 152822.18701)]"
"(-13558.27628, 152780.48971)","(-13744.53149, 152665.31844)",0.36147723000165305,True,False,2717,971,4075,971,2038,False,"[(-13629.67038, 152799.89131)]"
"(-13558.27628, 152780.48971)","(-13852.89122, 152826.3212)",0.0,False,True,0,0,0,0,0,False,
"(-13558.27628, 152780.48971)","(-13560.32763, 152476.27228)",0.0,False,True,0,0,0,0,0,False,
"(-13739.14518, 152641.79421)","(-13594.83638, 152617.47621)",0.20461379515871508,True,False,1538,549,2307,549,1153,False,"[(-13657.60708, 152569.02661), (-13715.52038, 152579.70711)]"
"(-13739.14518, 152641.79421)","(-13744.53149, 152665.31844)",0.024133000901451703,True,False,181,65,272,65,136,26.041,
"(-13739.14518, 152641.79421)","(-13961.84288, 152728.86471)",0.2429210042971225,True,False,1825,651,2738,651,1370,False,"[(-13802.58718, 152651.94691), (-13861.51308, 152669.08041), (-13919.19148, 152709.70101)]"
"(-13739.14518, 152641.79421)","(-13860.65879, 152507.85583)",0.0,False,True,0,0,0,0,0,False,
"(-13739.14518, 152641.79421)","(-13852.89122, 152826.3212)",0.0,False,True,0,0,0,0,0,False,
"(-13914.65108, 152290.25701)","(-13594.83638, 152617.47621)",0.5715425794789399,False,False,4294,1534,6442,1534,3220,False,"[(-13558.50038, 152588.35691), (-13566.31468, 152541.64691), (-13624.36118, 152509.47781), (-13688.77178, 152401.16341), (-13719.37648, 152339.59861), (-13757.09768, 152307.44021), (-13804.36078, 152305.44951), (-13867.67698, 152287.14391), (-13871.70998, 152296.61251)]"
"(-13914.65108, 152290.25701)","(-14082.63798, 152443.23231)",0.25881937126157406,True,False,1946,695,2917,695,1458,False,"[(-14038.98158, 152432.64901), (-13943.73148, 152370.47171), (-13947.70018, 152333.43001), (-13915.95018, 152317.55491)]"
"(-13914.65108, 152290.25701)","(-13778.20828, 152108.99701)",0.36952070293835304,False,False,2778,992,4165,992,2082,False,"[(-13806.09568, 152167.11041), (-13861.13968, 152172.91921), (-13921.24188, 152160.12761), (-13958.28358, 152194.52341), (-13964.89818, 152255.37781), (-13935.79388, 152287.12781)]"
"(-13914.65108, 152290.25701)","(-13860.65879, 152507.85583)",0.0,False,True,0,0,0,0,0,False,
"(-13914.65108, 152290.25701)","(-13560.32763, 152476.27228)",0.0,False,True,0,0,0,0,0,False,
"(-13860.65879, 152507.85583)","(-13594.83638, 152617.47621)",0.0,False,True,0,0,0,0,0,False,
"(-13860.65879, 152507.85583)","(-14082.63798, 152443.23231)",0.0,False,True,0,0,0,0,0,False,
